#    addons.mozilla.org Statistics for add-on Adblock Plus
#
#    Generated Sun Jul  6 01:26:10 2014 -0700
#    from https://addons.mozilla.org/en-US/firefox/addon/adblock-plus/statistics/sources-day-20140606-20140706.csv
date,count,cb-dl-mostpopular,cb-btn-rating,api,cb-btn-featured,external-abp.o-ru-firefox,cb-hc-toprated,homepagebrowse,hp-dl-promo,external-Add-ons_Manager_Context_Menu-extension,external-abp.o-en,oftenusedwith,external-abp.o-es,external-abp.o-pt_BR,cb-dl-toprated,cb-dl-name,version-history,external-addit,cb-btn-users,hp-dl-mostpopular,dp-dl-othersby,external-abp.o-en-installation,external-abp.o-fr-firefox,external-abp.o-nl,cb-hc-featured,external-abp.o-zh_TW,userprofile,external-abp.o-es-firefox,discovery-promo,external-abp.o-fr,cb-dl-hotness,external-abp.o-ar-installation,dp-btn-primary,cb-btn-created,cb-dl-updated,cb-hc-mostpopular,external-abp.o-zh_CN,cb-dl-rating,cb-btn-hotness,dp-dl-dependencies,cb-btn-updated,external-abp.o-sk,cb-dl-users,external-abp.o-es-installation,null,addon-detail-version,category,cb-btn-name,external-abp.o-en-firefox,external-abp.o-ko,hp-dl-featured,addondetail,dp-hc-dependencies,recommended,external-abp.o-ru,developers,homepagepromo,dp-btn-version,external-abp.o-bg,discovery-learnmore,external-abp.o-hu,external-abp.o-lt,collection,hp-hc-featured,external-abp.o-de-firefox,dp-hc-othersby,cb-btn-popular,cb-dl-popular,external-abp.o-de,search,discovery-featured,cb-dl-featured,ss,external-abp.o-zh_CN-firefox,external-abp.o-he-firefox,external-abp.o-pt_BRe,external-denblog,external-abp.o-ru-installation,discovery-dependencies,external-abp.o-he
2014-06-22,199328,882,0,47847,0,0,25,4,2223,0,0,0,0,0,6,0,250,0,0,1921,2,0,0,0,57,0,139,0,0,0,0,0,60793,0,0,2199,0,0,0,47,0,0,0,0,69134,0,3860,0,0,0,73,34,37,0,0,2,0,27,0,0,0,0,506,130,0,4,0,0,0,7405,0,121,1591,0,0,0,0,0,9,0
2014-06-21,201684,859,0,49287,0,0,15,1,2102,0,0,0,0,0,12,0,232,0,0,1801,13,0,0,0,54,0,141,0,0,0,0,0,62316,0,0,2222,0,0,0,22,0,0,0,0,68906,0,3604,0,0,0,112,30,25,0,0,3,0,32,0,0,0,0,582,171,0,5,0,0,0,7326,0,138,1667,0,0,0,0,0,6,0
2014-06-20,210229,847,0,52577,0,0,18,7,2138,0,0,0,0,0,3,0,263,0,0,1982,3,0,0,0,34,0,129,0,0,0,0,0,63921,0,0,2167,0,0,0,47,0,0,0,0,73293,0,3173,0,0,0,89,53,40,0,0,2,0,26,0,0,0,0,524,118,0,1,0,0,0,7112,0,147,1511,0,0,0,0,0,4,0
2014-06-19,208459,922,0,50991,0,0,26,5,1999,0,0,0,0,0,6,0,235,0,0,1770,2,0,0,0,48,0,160,0,0,0,0,0,62518,0,0,2177,0,0,0,34,0,0,0,0,74310,0,3285,0,0,0,168,24,24,0,0,5,0,28,0,0,0,0,478,211,0,1,0,0,0,7257,0,139,1630,0,0,0,0,0,6,0
2014-06-18,198548,842,0,49587,0,0,27,5,1933,0,0,0,0,0,5,0,252,0,0,1799,3,0,0,0,37,0,142,0,0,0,0,0,58381,0,0,2064,0,0,0,36,0,0,0,0,70850,0,3266,0,0,0,82,23,37,0,0,6,0,32,0,0,0,0,431,83,0,7,0,0,0,6976,0,128,1505,0,0,0,0,0,9,0
2014-06-17,197386,759,0,50650,0,0,20,4,2017,0,0,0,0,0,6,0,290,0,0,1758,5,0,0,0,17,0,142,0,0,0,0,0,58787,0,0,2025,0,0,0,45,0,0,0,0,68775,0,2998,0,0,0,62,38,41,0,0,1,0,24,0,0,0,0,462,111,0,1,0,0,0,6619,0,107,1615,0,0,0,0,0,7,0
2014-06-16,194146,801,0,49120,0,0,33,1,1929,0,0,0,0,0,5,0,243,0,0,1813,5,0,0,0,24,0,148,0,0,0,0,0,57741,0,0,2099,0,0,0,49,0,0,0,0,67846,0,3028,0,0,0,72,40,34,0,0,1,0,21,0,0,0,0,482,133,0,3,0,0,0,6756,0,112,1603,0,0,0,0,0,4,0
2014-06-15,163667,800,0,38757,0,0,18,6,1996,0,0,0,0,0,7,0,188,0,0,1427,1,0,0,0,29,0,107,0,0,0,0,0,50339,0,0,1908,0,0,0,41,0,0,0,0,56554,0,3134,0,0,0,55,24,33,0,0,4,0,11,0,0,0,0,403,57,0,5,0,0,0,6338,0,88,1332,0,0,0,0,0,5,0
2014-06-14,204766,949,0,50027,0,0,32,7,2237,0,0,0,0,0,10,0,241,0,0,1972,3,0,0,0,50,0,168,0,0,0,0,0,62015,0,0,2301,0,0,0,48,0,0,0,0,70153,0,4125,0,0,0,71,27,37,0,0,7,0,23,0,0,0,0,494,118,0,0,0,0,0,7788,0,122,1737,0,0,0,0,0,4,0
2014-06-13,207412,813,0,51840,0,0,17,2,2270,0,0,0,0,0,4,0,299,0,0,1888,3,0,0,0,43,0,194,0,0,0,0,0,61341,0,0,2247,0,0,0,26,0,0,0,0,73170,0,3508,0,0,0,82,28,31,0,0,8,0,15,0,0,0,0,483,79,0,0,0,0,0,7297,0,147,1571,0,0,0,0,0,6,0
2014-06-12,212851,797,0,53238,0,0,13,3,2405,0,0,0,0,0,7,0,280,0,0,1980,5,0,0,0,40,0,203,0,0,0,0,0,62763,0,0,2364,0,0,0,55,0,0,0,0,75150,0,3550,0,0,0,82,37,31,0,0,3,0,32,0,0,0,0,539,127,0,10,0,0,0,7311,0,155,1665,0,0,0,0,0,6,0
2014-06-11,208188,1752,115,52859,757,14,19,13,2412,5,15981,0,5027,1321,12,0,288,4,5167,2071,4,9,0,539,52,71,155,0,23429,4441,2,0,59621,0,0,2382,213,34,1,44,3,147,614,0,5728,0,4078,3,17,2,79,32,31,0,4765,4,0,38,139,104,508,13,525,121,0,4,33,4,1663,7439,1232,274,1701,0,1,1,3,0,22,46
2014-06-10,203761,1588,104,50211,713,5,20,8,2129,11,16010,0,4962,1310,18,0,259,1,4892,1842,8,4,0,617,25,55,145,0,22503,4382,0,2,60232,0,1,2206,190,31,1,57,0,111,593,1,5688,0,3618,1,10,3,105,28,41,0,4097,8,0,22,165,114,533,32,478,137,0,1,27,5,1552,6958,2927,276,1605,2,2,0,4,1,14,60
2014-06-09,109334,892,49,27630,387,4,15,1,1135,3,8162,0,2688,793,14,0,152,0,2783,986,5,5,0,347,20,27,86,1,12618,2250,0,1,32691,0,0,1294,68,19,0,14,1,58,319,0,2992,0,1851,1,4,2,48,22,24,0,1735,4,0,14,79,62,266,19,249,114,0,2,17,3,749,3761,719,160,882,0,0,0,1,0,2,34
2014-06-08,82463,708,66,20927,327,3,4,3,897,2,5431,0,1711,447,10,0,102,0,2231,767,4,4,1,242,18,16,64,1,10019,1502,0,0,24473,0,1,1108,67,28,0,23,0,42,262,0,2131,0,1578,0,1,0,35,10,11,0,1438,1,0,10,54,45,217,11,202,53,0,2,16,3,489,3057,767,88,695,0,0,0,1,0,6,31
2014-06-07,81459,726,52,20984,302,1,8,1,818,1,5538,0,1731,481,8,2,107,1,2239,742,2,2,0,230,11,22,69,0,9501,1618,0,0,23934,1,1,987,56,17,1,10,3,32,233,0,2271,0,1345,1,3,0,48,14,24,0,1369,0,0,9,85,45,170,15,207,60,1,0,14,3,491,3026,870,130,756,0,0,0,0,0,6,24
2014-06-06,85603,738,54,22589,324,2,12,0,825,5,6066,0,1828,486,10,0,104,2,2228,738,2,3,0,252,13,28,42,1,9954,1810,0,0,24724,0,0,1004,61,20,0,24,0,46,218,0,2356,1,1295,2,3,1,29,10,16,0,1426,0,0,18,80,49,166,7,219,52,0,2,16,2,563,2978,1202,104,753,0,0,0,1,0,6,33
